Comment,Designator,Footprint,LCSC
1k,R23,R_0402_1005Metric,C11702
STM32F401CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C118825
OPA350,U5,SOIC-8_3.9x4.9mm_P1.27mm,C13388
220p,C15,C_0402_1005Metric,C1530
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
4.7u,"C2,C5",C_0402_1005Metric,C23733
100,"R10,R11,R3,R4,R5,R6,R7,R8",R_0402_1005Metric,C25076
330,R37,R_0402_1005Metric,C25104
100k,"R14,R15,R16,R17,R18,R19,R20,R21,R22,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R36,R9",R_0402_1005Metric,C25741
10k,"R12,R13,R35",R_0402_1005Metric,C25744
5.1k,"R1,R2",R_0402_1005Metric,C25905
PRTR5V0U2X,D1,SOT-143,C2827688
100n,"C1,C10,C11,C13,C14,C16,C17,C18,C7,C8,C9",C_0402_1005Metric,C307331
Magic Switch,SW1,SW_SPST_TL3342,C318884
1u,"C12,C3,C4,C6",C_0402_1005Metric,C52923
XC6206PxxxMR,U2,SOT-23,C5446
74HC4051,"U4,U6,U7",TSSOP16,C5645
500mA,F1,Fuse_0603_1608Metric,C720073
2N7002,Q1,SOT-23,C8545
"220 @ 100MHz, 2A",L1,L_0603_1608Metric,C85832
8 MHz,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C907975
